comp,post_bugs,size,complexity,prior_changes,change_churn,prior_bugs,total,minor,major,ownership,entropy,review_rate,review_churn_rate,voters,minor_voters,major_voters,voter_ownership,self_reviews,too_quick,little_discussion,median_revspeed,mean_revspeed,median_discussion,mean_discussion,minor_wrote_no_major_revd,minor_wrote_no_owner_revd,median_voterscore,mean_voterscore,actors,minor_actors,major_actors,actor_ownership,owner_more_author,median_maxexp,mean_maxexp,median_minexp,mean_minexp,subsystem,DataClass,TraditionBreaker,SchizophrenicClass,GodClass,GodModule,SchizophrenicModule,DataModule,FeatureEnvy,DataClumps,SiblingDuplication,InternalDuplication,ExternalDuplication,MessageChains
Utilities/vtklibxml2/include/libxml,0,3291,0,1,15159,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,27,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkmetaio,0,2276,0.065026362,9,6787,0,3,0,3,0.666666667,0.985765173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,22,0,1,17,0,0,0,1,0,8,2,4,0
Utilities/vtknetcdf/cxx,7,2336,0.364297945,7,14104,3,2,0,2,0.857142857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,1,1,1,1,VTK,0,0,1,0,0,0,0,0,1,2,1,0,0
Utilities/vtknetcdf/include,14,1430,0,10,17940,3,2,0,2,0.9,0.995071184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,1,1,1,1,VTK,13,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtknetcdf/libdispatch,14,5264,0.247150456,11,29104,3,2,0,2,0.909090909,0.995493137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,1,1,1,1,VTK,2,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtknetcdf/libsrc,19,26162,0.114861249,16,157810,9,2,0,2,0.9375,0.993468154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,1,1,1,1,VTK,4,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtknetcdf/libsrc4,12,8098,0.316497901,7,52952,0,2,0,2,0.857142857,0.992264482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,1,1,1,1,VTK,9,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkoggtheora/libogg-1.1.4/include/ogg,0,126,0,2,354,0,2,0,2,0.5,0.969022256,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1,1,1,1,1,1,VTK,5,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkoggtheora/libtheora-1.1.1/include/theora,0,204,0,1,2190,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,1,1,1,1,0.019607843,0.019607843,VTK,9,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkoggtheora/libtheora-1.1.1/lib,0,15190,0.11843318,2,22467,0,2,0,2,0.5,0.997169601,0.5,8.98E-05,4,0,4,1,0,0,1,24169.25,24169.25,0.5,0.5,0,0,0,0,5,0,5,1,1,1,1,1,1,VTK,27,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkoggtheora/libtheora-1.1.1/lib/x86,0,40,0,1,3612,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
