comp,post_bugs,size,complexity,prior_changes,change_churn,prior_bugs,total,minor,major,ownership,entropy,review_rate,review_churn_rate,voters,minor_voters,major_voters,voter_ownership,self_reviews,too_quick,little_discussion,median_revspeed,mean_revspeed,median_discussion,mean_discussion,minor_wrote_no_major_revd,minor_wrote_no_owner_revd,median_voterscore,mean_voterscore,actors,minor_actors,major_actors,actor_ownership,owner_more_author,median_maxexp,mean_maxexp,median_minexp,mean_minexp,subsystem,DataClass,TraditionBreaker,SchizophrenicClass,GodClass,GodModule,SchizophrenicModule,DataModule,FeatureEnvy,DataClumps,SiblingDuplication,InternalDuplication,ExternalDuplication,MessageChains
qtquick1.examples/declarative/text/fonts/fonts,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/text/fonts/hello,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/text/textselection,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/threading/threadedlistmodel,0,9,0.111111121,5,72,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/threading/workerscript,0,9,0.111111121,5,72,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/touchinteraction/gestures/experimental-gestures,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/touchinteraction/mousearea/mousearea-example,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/touchinteraction/pincharea,0,9,0.111111121,5,72,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/toys/clocks,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/toys/corkboards,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
