comp,post_bugs,size,complexity,prior_changes,change_churn,prior_bugs,total,minor,major,ownership,entropy,review_rate,review_churn_rate,voters,minor_voters,major_voters,voter_ownership,self_reviews,too_quick,little_discussion,median_revspeed,mean_revspeed,median_discussion,mean_discussion,minor_wrote_no_major_revd,minor_wrote_no_owner_revd,median_voterscore,mean_voterscore,actors,minor_actors,major_actors,actor_ownership,owner_more_author,median_maxexp,mean_maxexp,median_minexp,mean_minexp,subsystem,DataClass,TraditionBreaker,SchizophrenicClass,GodClass,GodModule,SchizophrenicModule,DataModule,FeatureEnvy,DataClumps,SiblingDuplication,InternalDuplication,ExternalDuplication,MessageChains
qtbase.src/3rdparty/zlib,0,5907,0.256644659,1,2,1,1,0,1,1,0,1,1,2,0,2,1,0,0,0,669.2415541,669.2415541,0.004504505,0.004504505,7,7,0,0,13,0,13,1,0,1,1,0.99463807,0.987290306,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/concurrent,2,3128,0.148337596,6,189,2,4,0,4,0.333333333,0.992324897,1,1,15,0,15,1,1,2,1,392.0611133,2703.702528,0.002732808,0.241701672,14,14,0,0.138888889,38,19,19,0.972222222,0,0.996296296,0.968645134,0.972222222,0.922611526,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/concurrent/doc/snippets/code,0,143,0.04895105,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.73670475,33.73670475,9.85E-05,9.85E-05,6,6,0,0,10,0,10,1,0,1,1,0.972222222,0.884559885,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/animation,1,2338,0.207014542,5,87,1,4,0,4,0.4,0.990376554,1,1,13,0,13,1,1,2,0,33.73670475,1488.38645,0.00041511,0.078714445,33,33,0,0,56,29,27,1,0,1,1,1,0.931412577,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/arch,3,1726,0.229432213,7,583,1,6,0,6,0.285714286,0.994073086,1,1,15,0,15,1,4,2,0,33.73670475,6040.18152,0.001333333,0.034748578,14,39,0.142857143,0.072562358,39,27,12,1,0,1,1,0.994974874,0.960651507,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/arch/sparc,0,462,0.017316018,2,8,0,2,0,2,0.5,0.980743206,1,1,7,0,7,1,1,1,0,17.51652744,17.51652744,0.000149987,0.000149987,4,4,0,0,11,0,11,1,0,1,1,0.666666667,0.701388889,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/codecs,1,38448,0.031731169,10,140,1,8,0,8,0.2,0.970419641,1,1,16,0,16,1,2,3,1,37.4433619,5718.172314,0.004716511,0.058879837,65,72,0,0.008333333,58,43,15,1,0,1,1,0.99463807,0.960210468,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/doc/snippets,0,14,0.071428578,2,61,0,2,0,2,0.5,0.962961065,1,1,6,0,6,1,1,1,0,19.15247936,19.15247936,0.00798575,0.00798575,2,2,0,0,11,0,11,1,0,1,1,0.802083333,0.816367851,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/doc/snippets/buffer,0,58,0.103448277,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.73670475,33.73670475,9.85E-05,9.85E-05,2,2,0,0,9,0,9,1,0,1,1,0.666666667,0.756944444,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/doc/snippets/code,3,3837,0.055251499,21,515,3,13,8,5,0.19047619,0.979011702,0.857142857,0.8791423,25,13,12,1,3,2,1,188.305997,1138.235182,0.012569021,0.115197432,24,31,0,0.024316109,56,36,20,1,0,1,1,0.990990991,0.971847338,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/doc/snippets/code/qlogging,0,8,0.250000009,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.73670475,33.73670475,9.85E-05,9.85E-05,2,2,0,0,9,0,9,1,0,1,1,0.666666667,0.756944444,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/doc/snippets/eventfilters,0,42,0.190476192,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.73670475,33.73670475,9.85E-05,9.85E-05,1,1,0,0,10,0,10,1,0,1,1,0.833333333,0.833333333,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/doc/snippets/events,0,39,0.205128207,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.73670475,33.73670475,9.85E-05,9.85E-05,1,1,0,0,10,0,10,1,0,1,1,0.833333333,0.833333333,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/doc/snippets/file,0,60,0.266666668,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.73670475,33.73670475,9.85E-05,9.85E-05,2,2,0,0,9,0,9,1,0,1,1,0.666666667,0.756944444,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/doc/snippets/fileinfo,0,34,0.029411768,2,8,0,2,0,2,0.5,1,1,1,7,0,7,1,1,1,0,17.51652744,17.51652744,0.000149987,0.000149987,2,2,0,0,12,0,12,1,0,1,1,0.770833333,0.786458333,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/doc/snippets/plugins,0,53,0.056603775,1,179,0,1,0,1,1,1,1,1,8,0,8,1,0,1,0,1.401538462,1.401538462,0.003076923,0.003076923,0,0,0,0,9,0,9,1,1,1,1,0.990990991,0.990990991,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/doc/snippets/pointer,0,9,0.222222231,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.73670475,33.73670475,9.85E-05,9.85E-05,3,3,0,0,13,0,13,1,0,1,1,0.802083333,0.816367851,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/doc/snippets/process,0,24,0.208333337,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.73670475,33.73670475,9.85E-05,9.85E-05,2,2,0,0,9,0,9,1,0,1,1,0.666666667,0.756944444,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/doc/snippets/qdebug,0,21,0.190476194,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.73670475,33.73670475,9.85E-05,9.85E-05,3,3,0,0,11,0,11,1,0,1,1,0.802083333,0.817708333,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/doc/snippets/qdir-listfiles,0,16,0.125000005,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.73670475,33.73670475,9.85E-05,9.85E-05,2,2,0,0,9,0,9,1,0,1,1,0.666666667,0.756944444,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/doc/snippets/qdir-namefilters,0,18,0.111111116,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.73670475,33.73670475,9.85E-05,9.85E-05,2,2,0,0,9,0,9,1,0,1,1,0.666666667,0.756944444,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/doc/snippets/qelapsedtimer,0,49,0.224489798,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.73670475,33.73670475,9.85E-05,9.85E-05,2,2,0,0,9,0,9,1,0,1,1,0.666666667,0.756944444,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/doc/snippets/qmessageauthenticationcode,0,11,0.090909099,1,62,0,1,0,1,1,0,1,1,3,0,3,1,0,1,0,15.89434003,15.89434003,0.001748252,0.001748252,0,0,0,0,4,0,4,1,1,1,1,0.989051095,0.989051095,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/doc/snippets/qmetaobject-invokable,0,27,0.148148151,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.73670475,33.73670475,9.85E-05,9.85E-05,2,2,0,0,9,0,9,1,0,1,1,0.666666667,0.756944444,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/doc/snippets/qmetaobject-revision,0,53,0.226415096,1,201,0,1,0,1,1,1,1,1,3,0,3,1,1,0,0,183.4453274,183.4453274,0.002860776,0.002860776,0,0,0,0,4,0,4,1,1,1,1,0.99463807,0.99463807,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/corelib/doc/snippets/qprocess,0,13,0.076923084,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.73670475,33.73670475,9.85E-05,9.85E-05,3,3,0,0,12,0,12,1,0,1,1,0.802083333,0.816773754,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
